[2020-11-15 17:09:34.389 +03:00] [INF] One Time Setup finished
[2020-11-15 17:09:34.477 +03:00] [INF] Konfiguracja zakończona
[2020-11-15 17:09:34.487 +03:00] [DBG] Gets the timeout
[2020-11-15 17:09:34.490 +03:00] [DBG] Gets the short timeout
[2020-11-15 17:09:34.490 +03:00] [DBG] Gets the static timeout
[2020-11-15 17:09:34.494 +03:00] [DBG] Open this instance http://localhost/prestashop_1.7.6.8/?controller=authentication&back=my-account
[2020-11-15 17:09:36.673 +03:00] [DBG] Wyszukiwanie elementu By.Name: email
[2020-11-15 17:09:36.673 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:09:36.686 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:09:36.935 +03:00] [DBG] Wyszukiwanie elementu By.Name: password
[2020-11-15 17:09:36.935 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:09:36.939 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:09:37.105 +03:00] [DBG] Kliknąć element By.Id: submit-login
[2020-11-15 17:09:39.354 +03:00] [INF] User By.Name: email logined
[2020-11-15 17:09:39.385 +03:00] [INF] Test set up
[2020-11-15 17:09:39.775 +03:00] [DBG] Open this instance http://localhost/prestashop_1.7.6.8/addresses
[2020-11-15 17:09:40.571 +03:00] [DBG] Kliknąć element By.PartialLinkText: Create new address
[2020-11-15 17:09:41.561 +03:00] [DBG] Wyszukiwanie elementu By.Name: alias
[2020-11-15 17:09:41.561 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:09:41.569 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:09:41.684 +03:00] [DBG] Wyszukiwanie elementu By.Name: firstname
[2020-11-15 17:09:41.684 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:09:41.688 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:09:41.820 +03:00] [DBG] Wyszukiwanie elementu By.Name: lastname
[2020-11-15 17:09:41.820 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:09:41.824 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:09:41.947 +03:00] [DBG] Wyszukiwanie elementu By.Name: company
[2020-11-15 17:09:41.947 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:09:41.951 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:09:42.074 +03:00] [DBG] Wyszukiwanie elementu By.Name: address1
[2020-11-15 17:09:42.074 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:09:42.078 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:09:42.187 +03:00] [DBG] Wyszukiwanie elementu By.Name: address2
[2020-11-15 17:09:42.187 +03:00] [DBG] Oczekiwanie na wczytanie strony
