[2020-11-15 17:11:29.814 +03:00] [INF] One Time Setup finished
[2020-11-15 17:11:29.870 +03:00] [INF] Konfiguracja zakończona
[2020-11-15 17:11:29.879 +03:00] [DBG] Gets the timeout
[2020-11-15 17:11:29.880 +03:00] [DBG] Gets the short timeout
[2020-11-15 17:11:29.881 +03:00] [DBG] Gets the static timeout
[2020-11-15 17:11:29.886 +03:00] [DBG] Open this instance http://localhost/prestashop_1.7.6.8/?controller=authentication&back=my-account
[2020-11-15 17:11:32.073 +03:00] [DBG] Wyszukiwanie elementu By.Name: email
[2020-11-15 17:11:32.074 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:32.095 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:32.342 +03:00] [DBG] Wyszukiwanie elementu By.Name: password
[2020-11-15 17:11:32.342 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:32.346 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:32.532 +03:00] [DBG] Kliknąć element By.Id: submit-login
[2020-11-15 17:11:34.883 +03:00] [INF] User By.Name: email logined
[2020-11-15 17:11:34.919 +03:00] [INF] Test set up
[2020-11-15 17:11:35.306 +03:00] [DBG] Open this instance http://localhost/prestashop_1.7.6.8/addresses
[2020-11-15 17:11:36.165 +03:00] [DBG] Kliknąć element By.PartialLinkText: Create new address
[2020-11-15 17:11:37.176 +03:00] [DBG] Wyszukiwanie elementu By.Name: alias
[2020-11-15 17:11:37.176 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:37.185 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:37.322 +03:00] [DBG] Wyszukiwanie elementu By.Name: firstname
[2020-11-15 17:11:37.322 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:37.329 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:37.470 +03:00] [DBG] Wyszukiwanie elementu By.Name: lastname
[2020-11-15 17:11:37.471 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:37.475 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:37.612 +03:00] [DBG] Wyszukiwanie elementu By.Name: company
[2020-11-15 17:11:37.612 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:37.615 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:37.741 +03:00] [DBG] Wyszukiwanie elementu By.Name: address1
[2020-11-15 17:11:37.741 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:37.746 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:37.868 +03:00] [DBG] Wyszukiwanie elementu By.Name: address2
[2020-11-15 17:11:37.868 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:37.871 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:37.990 +03:00] [DBG] Wyszukiwanie elementu By.Name: postcode
[2020-11-15 17:11:37.990 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:37.995 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:38.121 +03:00] [DBG] Wyszukiwanie elementu By.Name: city
[2020-11-15 17:11:38.121 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:38.125 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:38.269 +03:00] [DBG] Wyszukiwanie elementu By.Name: phone
[2020-11-15 17:11:38.269 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:38.276 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:38.407 +03:00] [DBG] Wyszukiwanie elementu By.Name: firstname
[2020-11-15 17:11:38.407 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:38.412 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:38.579 +03:00] [DBG] Wyszukiwanie elementu By.Name: lastname
[2020-11-15 17:11:38.579 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:38.583 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:38.737 +03:00] [DBG] Wyszukiwanie elementu By.Name: company
[2020-11-15 17:11:38.738 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:38.743 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:38.905 +03:00] [DBG] Wyszukiwanie elementu By.Name: address1
[2020-11-15 17:11:38.905 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:38.910 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:39.095 +03:00] [DBG] Wyszukiwanie elementu By.Name: address2
[2020-11-15 17:11:39.095 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:39.099 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:39.271 +03:00] [DBG] Wyszukiwanie elementu By.Name: postcode
[2020-11-15 17:11:39.271 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:39.275 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:39.415 +03:00] [DBG] Wyszukiwanie elementu By.Name: city
[2020-11-15 17:11:39.415 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:39.418 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:39.734 +03:00] [DBG] Wyszukiwanie elementu By.Name: phone
[2020-11-15 17:11:39.735 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:39.739 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:11:39.929 +03:00] [DBG] Kliknąć element By.PartialLinkText: Save
[2020-11-15 17:12:10.337 +03:00] [INF] Test tear down
[2020-11-15 17:12:18.534 +03:00] [INF] One Time Tear Down
