[2020-11-15 17:16:18.234 +03:00] [INF] One Time Setup finished
[2020-11-15 17:16:18.359 +03:00] [INF] Konfiguracja zakończona
[2020-11-15 17:16:18.364 +03:00] [DBG] Gets the timeout
[2020-11-15 17:16:18.365 +03:00] [DBG] Gets the short timeout
[2020-11-15 17:16:18.370 +03:00] [DBG] Gets the static timeout
[2020-11-15 17:16:18.376 +03:00] [DBG] Open this instance http://localhost/prestashop_1.7.6.8/?controller=authentication&back=my-account
[2020-11-15 17:16:20.721 +03:00] [DBG] Wyszukiwanie elementu By.Name: email
[2020-11-15 17:16:20.721 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:20.735 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:21.043 +03:00] [DBG] Wyszukiwanie elementu By.Name: password
[2020-11-15 17:16:21.043 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:21.047 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:21.217 +03:00] [DBG] Kliknąć element By.Id: submit-login
[2020-11-15 17:16:23.787 +03:00] [INF] User By.Name: email logined
[2020-11-15 17:16:23.819 +03:00] [INF] Test set up
[2020-11-15 17:16:24.158 +03:00] [DBG] Open this instance http://localhost/prestashop_1.7.6.8/addresses
[2020-11-15 17:16:24.958 +03:00] [DBG] Kliknąć element By.PartialLinkText: Create new address
[2020-11-15 17:16:25.915 +03:00] [DBG] Wyszukiwanie elementu By.Name: alias
[2020-11-15 17:16:25.916 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:25.927 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:26.046 +03:00] [DBG] Wyszukiwanie elementu By.Name: firstname
[2020-11-15 17:16:26.046 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:26.049 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:26.175 +03:00] [DBG] Wyszukiwanie elementu By.Name: lastname
[2020-11-15 17:16:26.175 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:26.179 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:26.317 +03:00] [DBG] Wyszukiwanie elementu By.Name: company
[2020-11-15 17:16:26.317 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:26.322 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:26.473 +03:00] [DBG] Wyszukiwanie elementu By.Name: address1
[2020-11-15 17:16:26.473 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:26.478 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:26.598 +03:00] [DBG] Wyszukiwanie elementu By.Name: address2
[2020-11-15 17:16:26.598 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:26.601 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:26.718 +03:00] [DBG] Wyszukiwanie elementu By.Name: postcode
[2020-11-15 17:16:26.718 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:26.722 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:26.845 +03:00] [DBG] Wyszukiwanie elementu By.Name: city
[2020-11-15 17:16:26.845 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:26.848 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:26.964 +03:00] [DBG] Wyszukiwanie elementu By.Name: phone
[2020-11-15 17:16:26.964 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:26.968 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:27.113 +03:00] [DBG] Wyszukiwanie elementu By.Name: firstname
[2020-11-15 17:16:27.113 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:27.117 +03:00] [DBG] Oczekiwanie na wczytanie strony
[2020-11-15 17:16:27.274 +03:00] [DBG] Wyszukiwanie elementu By.Name: lastname
[2020-11-15 17:16:27.274 +03:00] [DBG] Oczekiwanie na wczytanie strony
